Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,11,4,actor_11_4.h5,11,0.488659,0.0486305,0.00699812
10,1fail,actor,11,4,actor_11_4.h5,12,0.493169,0.0396096,-0.024908
10,1fail,actor,11,4,actor_11_4.h5,13,0.489068,0.0437484,0.00449934
10,1fail,actor,11,4,actor_11_4.h5,14,0.492596,0.0552429,0.00239486
10,1fail,actor,11,4,actor_11_4.h5,15,0.48535,0.00915945,0.0167346
10,1fail,actor,11,4,actor_11_4.h5,16,0.492232,0.0584435,-0.00947637
10,1fail,actor,121,3,actor_121_3.h5,01,0.43491,0.304783,0.0394084
10,1fail,actor,121,3,actor_121_3.h5,02,0.419207,0.284356,-0.0590654
10,1fail,actor,121,3,actor_121_3.h5,03,0.429623,0.304047,-0.00362824
10,1fail,actor,121,3,actor_121_3.h5,04,0.436703,0.274452,0.00865654
10,1fail,actor,121,3,actor_121_3.h5,05,0.42791,0.290436,-0.0292662
10,1fail,actor,121,3,actor_121_3.h5,06,0.425247,0.315627,0.0131665
10,1fail,actor,121,3,actor_121_3.h5,07,0.42487,0.309637,-0.0302406
10,1fail,actor,121,3,actor_121_3.h5,08,0.431869,0.303035,-0.0428665
10,1fail,actor,121,3,actor_121_3.h5,09,0.451713,0.208265,-0.00704712
10,1fail,actor,121,3,actor_121_3.h5,10,0.4275,0.276066,0.0129116
10,1fail,actor,121,3,actor_121_3.h5,11,0.4266,0.311369,-0.0112021
10,1fail,actor,121,3,actor_121_3.h5,12,0.430402,0.29267,-0.0710744
10,1fail,actor,121,3,actor_121_3.h5,13,0.426645,0.309001,0.0137394
10,1fail,actor,121,3,actor_121_3.h5,14,0.432476,0.298834,-0.031067
10,1fail,actor,121,3,actor_121_3.h5,15,0.431032,0.264718,0.0320271
10,1fail,actor,121,3,actor_121_3.h5,16,0.426462,0.332721,-0.0668538
10,1fail,actor,131,3,actor_131_3.h5,01,0.433705,0.277496,0.0221809
10,1fail,actor,131,3,actor_131_3.h5,02,0.418325,0.255044,-0.067968
10,1fail,actor,131,3,actor_131_3.h5,03,0.429343,0.277802,-0.014857
10,1fail,actor,131,3,actor_131_3.h5,04,0.436529,0.24042,-0.0169299
10,1fail,actor,131,3,actor_131_3.h5,05,0.426007,0.270608,-0.0395451
